"ego","site_code","sex","group_id","dob","dod","father","mother"
"pe9141","PE","","","NA-99-99",NA,"0","0"
"pe9142","PE","","","NA-99-99",NA,"0","0"
"pe9143","PE","","","NA-99-99",NA,"0","0"
"pe9144","PE","","","NA-99-99",NA,"0","0"
"pe9145","PE","","","NA-99-99",NA,"0","0"
"pe9146","PE","","","NA-99-99",NA,"0","0"
"pe9147","PE","","","NA-99-99",NA,"0","0"
"pe9148","PE","","","NA-99-99",NA,"0","0"
"pe9149","PE","","","NA-99-99",NA,"pe9021","pe9091"
"pe9150","PE","","","NA-99-99",NA,"0","0"
"pe9151","PE","","","NA-99-99",NA,"0","0"
"pe9152","PE","","","NA-99-99",NA,"0","0"
"pe9153","PE","","","NA-99-99",NA,"0","0"
"pe9154","PE","","","NA-99-99",NA,"0","0"
"pe9155","PE","","","NA-99-99",NA,"0","0"
"pe9156","PE","","","NA-99-99",NA,"0","0"
"pe9157","PE","","","NA-99-99",NA,"0","0"
"pe9158","PE","","","NA-99-99",NA,"0","0"
"pe9159","PE","","","NA-99-99",NA,"0","0"
"pe9160","PE","","","NA-99-99",NA,"0","0"
"pe9161","PE","","","NA-99-99",NA,"pe9152","pe9031"
"pe9162","PE","","","NA-99-99",NA,"pe9194","pe9173"
"pe9163","PE","","","NA-99-99",NA,"0","0"
"pe9164","PE","","","NA-99-99",NA,"0","0"
"pe9165","PE","","","NA-99-99",NA,"pe9085","pe9078"
"pe9166","PE","","","NA-99-99",NA,"pe9088","pe9030"
"pe9167","PE","","","NA-99-99",NA,"pe9017","pe9115"
"pe9168","PE","","","NA-99-99",NA,"0","0"
"pe9169","PE","","","NA-99-99",NA,"pe9010","pe9036"
"pe9170","PE","","","NA-99-99",NA,"0","0"
"pe9171","PE","","","NA-99-99",NA,"pe9019","pe9198"
"pe9172","PE","","","NA-99-99",NA,"pe9168","pe9141"
"pe9173","PE","","","NA-99-99",NA,"0","0"
"pe9174","PE","","","NA-99-99",NA,"pe9035","pe9139"
"pe9175","PE","","","NA-99-99",NA,"0","0"
"pe9176","PE","","","NA-99-99",NA,"pe9013","pe9143"
"pe9177","PE","","","NA-99-99",NA,"0","0"
"pe9178","PE","","","NA-99-99",NA,"0","0"
"pe9179","PE","","","NA-99-99",NA,"pe9719","pe9720"
"pe9180","PE","","","NA-99-99",NA,"pe9039","pe9092"
"pe9181","PE","","","NA-99-99",NA,"0","0"
"pe9182","PE","","","NA-99-99",NA,"0","0"
"pe9183","PE","","","NA-99-99",NA,"0","0"
"pe9184","PE","","","NA-99-99",NA,"0","0"
"pe9185","PE","","","NA-99-99",NA,"0","0"
"pe9186","PE","","","NA-99-99",NA,"pe9815","pe9816"
"pe9187","PE","","","NA-99-99",NA,"0","0"
"pe9188","PE","","","NA-99-99",NA,"0","0"
"pe9189","PE","","","NA-99-99",NA,"pe9020","pe9012"
"pe9190","PE","","","NA-99-99",NA,"0","0"
"pe9191","PE","","","NA-99-99",NA,"0","0"
"pe9192","PE","","","NA-99-99",NA,"0","0"
"pe9193","PE","","","NA-99-99",NA,"0","0"
"pe9194","PE","","","NA-99-99",NA,"0","0"
"pe9195","PE","","","NA-99-99",NA,"0","0"
"pe9196","PE","","","NA-99-99",NA,"0","0"
"pe9197","PE","","","NA-99-99",NA,"pe9150","pe9156"
"pe9198","PE","","","NA-99-99",NA,"0","0"
"pe9199","PE","","","NA-99-99",NA,"0","0"
"pe9200","PE","","","NA-99-99",NA,"pe9196","pe9099"
"pe9201","PE","","","NA-99-99",NA,"pe9817","pe9048"
"pe9202","PE","","","NA-99-99",NA,"pe9825","pe9045"
"pe9600","PE","","","NA-99-99",NA,"0","0"
"pe9702","PE","","","NA-99-99",NA,"pe9801","pe9802"
"pe9703","PE","","","NA-99-99",NA,"pe9824","pe9812"
"pe9704","PE","","","NA-99-99",NA,"pe9749","pe9813"
"pe9705","PE","","","NA-99-99",NA,"pe9060","pe9131"
"pe9707","PE","","","NA-99-99",NA,"pe9749","pe9813"
"pe9708","PE","","","NA-99-99",NA,"pe9820","pe9116"
"pe9709","PE","","","NA-99-99",NA,"pe9072","pe9032"
"pe9709","PE","","","NA-99-99",NA,"pe9072","0"
"pe9709","PE","","","NA-99-99",NA,"0","pe9032"
"pe9709","PE","","","NA-99-99",NA,"0","0"
"pe9710","PE","","","NA-99-99",NA,"pe9820","pe9600"
"pe9711","PE","","","NA-99-99",NA,"pe9082","pe9191"
"pe9712","PE","","","NA-99-99",NA,"pe9723","pe9720"
"pe9713","PE","","","NA-99-99",NA,"pe9818","pe9819"
"pe9714","PE","","","NA-99-99",NA,"pe9071","pe9067"
"pe9715","PE","","","NA-99-99",NA,"pe9120","pe9042"
"pe9718","PE","","","NA-99-99",NA,"pe9719","pe9720"
"pe9719","PE","","","NA-99-99",NA,"0","0"
"pe9720","PE","","","NA-99-99",NA,"0","0"
"pe9721","PE","","","NA-99-99",NA,"pe9081","pe9041"
"pe9722","PE","","","NA-99-99",NA,"pe9056","pe9148"
"pe9723","PE","","","NA-99-99",NA,"0","0"
"pe9729","PE","","","NA-99-99",NA,"pe9739","pe9730"
"pe9729","PE","","","NA-99-99",NA,"pe9739","0"
"pe9729","PE","","","NA-99-99",NA,"0","pe9730"
"pe9729","PE","","","NA-99-99",NA,"0","0"
"pe9730","PE","","","NA-99-99",NA,"0","0"
"pe9739","PE","","","NA-99-99",NA,"0","0"
"pe9748","PE","","","NA-99-99",NA,"pe9084","pe9163"
"pe9749","PE","","","NA-99-99",NA,"0","0"
"pe9778","PE","","","NA-99-99",NA,"0","0"
"pe9779","PE","","","NA-99-99",NA,"0","0"
"pe9801","PE","","","NA-99-99",NA,"0","0"
"pe9802","PE","","","NA-99-99",NA,"0","0"
"pe9803","PE","","","NA-99-99",NA,"pe9810","pe9811"
"pe9806","PE","","","NA-99-99",NA,"pe9822","pe9160"
"pe9807","PE","","","NA-99-99",NA,"pe9154","pe9133"
"pe9808","PE","","","NA-99-99",NA,"pe9108","pe9129"
"pe9809","PE","","","NA-99-99",NA,"pe9052","pe9140"
"pe9810","PE","","","NA-99-99",NA,"0","0"
"pe9811","PE","","","NA-99-99",NA,"0","0"
"pe9812","PE","","","NA-99-99",NA,"0","0"
"pe9813","PE","","","NA-99-99",NA,"0","0"
"pe9815","PE","","","NA-99-99",NA,"pe9820","pe9600"
"pe9815","PE","","","NA-99-99",NA,"pe9820","0"
"pe9815","PE","","","NA-99-99",NA,"0","pe9600"
"pe9815","PE","","","NA-99-99",NA,"0","0"
"pe9816","PE","","","NA-99-99",NA,"pe9059","pe9066"
"pe9816","PE","","","NA-99-99",NA,"pe9059","0"
"pe9816","PE","","","NA-99-99",NA,"0","pe9066"
"pe9816","PE","","","NA-99-99",NA,"0","0"
"pe9817","PE","","","NA-99-99",NA,"pe9003","pe9008"
"pe9817","PE","","","NA-99-99",NA,"pe9003","0"
"pe9817","PE","","","NA-99-99",NA,"0","pe9008"
"pe9817","PE","","","NA-99-99",NA,"0","0"
"pe9818","PE","","","NA-99-99",NA,"0","0"
"pe9819","PE","","","NA-99-99",NA,"0","0"
"pe9820","PE","","","NA-99-99",NA,"0","0"
"pe9821","PE","","","NA-99-99",NA,"pe9184","pe9074"
"pe9822","PE","","","NA-99-99",NA,"pe9825","pe9136"
"pe9822","PE","","","NA-99-99",NA,"pe9825","0"
"pe9822","PE","","","NA-99-99",NA,"0","pe9136"
"pe9822","PE","","","NA-99-99",NA,"0","0"
"pe9823","PE","","","NA-99-99",NA,"pe9182","pe9096"
"pe9824","PE","","","NA-99-99",NA,"0","0"
"pe9825","PE","","","NA-99-99",NA,"0","0"
"pe9827","PE","","","NA-99-99",NA,"pe9801","pe9802"
"pe9828","PE","","","NA-99-99",NA,"pe9778","pe9779"
"pe9832","PE","","","NA-99-99",NA,"pe9833","pe9834"
"pe9833","PE","","","NA-99-99",NA,"0","0"
"pe9834","PE","","","NA-99-99",NA,"0","0"
"pe9836","PE","","","NA-99-99",NA,"pe9015","pe9097"
"pe9840","PE","","","NA-99-99",NA,"pe9153","pe9075"
"pe9841","PE","","","NA-99-99",NA,"pe9027","pe9144"
"pe9842","PE","","","NA-99-99",NA,"pe9124","pe9043"
"pe9918","PE","","","NA-99-99",NA,"pe9749","pe9813"
"pe9918","PE","","","NA-99-99",NA,"pe9749","0"
"pe9918","PE","","","NA-99-99",NA,"0","pe9813"
"pe9918","PE","","","NA-99-99",NA,"0","0"
"pe9919","PE","","","NA-99-99",NA,"pe9106","pe9095"
"pe9919","PE","","","NA-99-99",NA,"pe9106","0"
"pe9919","PE","","","NA-99-99",NA,"0","pe9095"
"pe9919","PE","","","NA-99-99",NA,"0","0"
